Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.05     0.00       48     0.00     0.00  SXIL_NewMemRef
  0.00      1.05     0.00       46     0.00     0.00  SXIL_TypeSSEP
  0.00      1.05     0.00       46     0.00     0.00  basm_coff_idxstr
  0.00      1.05     0.00       46     0.00     0.00  basm_coff_idxstr2
  0.00      1.05     0.00       42     0.00     0.00  SXIL_StackIdxLitP
  0.00      1.05     0.00       41     0.00     0.00  BGBPP_ParseArg
  0.00      1.05     0.00       41     0.00     0.00  SXIL_EncVLI
  0.00      1.05     0.00       40     0.00     0.00  SXIL_LoadMemXRegTy
  0.00      1.05     0.00       38     0.00     0.00  SXIL_TypeDComplexP
  0.00      1.05     0.00       38     0.00     0.00  SXIL_TypeDImagP
  0.00      1.05     0.00       36     0.00     0.00  SXIL_TypeFComplexP
  0.00      1.05     0.00       36     0.00     0.00  SXIL_TypeFImagP
  0.00      1.05     0.00       36     0.00     0.00  basm_rand
  0.00      1.05     0.00       35     0.00     0.00  BGBCC_CompileExpr
  0.00      1.05     0.00       35     0.00     0.00  BGBCC_CompileExprT
  0.00      1.05     0.00       35     0.00     0.00  BGBCC_IsIntP
  0.00      1.05     0.00       35     0.00     0.00  SXIL_IndexBlockSym
  0.00      1.05     0.00       34     0.00     0.00  BGBGC_ChunkSetEnt
  0.00      1.05     0.00       34     0.00     0.08  SXIL_Builtin
  0.00      1.05     0.00       34     0.00     0.00  SXIL_Builtin_TryName
  0.00      1.05     0.00       34     0.00     0.00  SXIL_Parse_MatchTokenListLen
  0.00      1.05     0.00       34     0.00     0.00  SXIL_Parse_OpChar
  0.00      1.05     0.00       34     0.00     0.00  SXIL_PushMark
  0.00      1.05     0.00       34     0.00     0.00  sxil_stricmp
  0.00      1.05     0.00       32     0.00     0.00  SXIL_ParseExtern
  0.00      1.05     0.00       32     0.00     0.00  sxil_free
  0.00      1.05     0.00       28     0.00     0.00  BASM_LabelDisp
  0.00      1.05     0.00       28     0.00     0.00  SXIL_LoadArgOffset
  0.00      1.05     0.00       28     0.00     0.00  SXIL_LoadGeneric
  0.00      1.05     0.00       28     0.00     0.00  SXIL_LoadGenericName
  0.00      1.05     0.00       28     0.00     0.00  SXIL_LoadLocalOffset
  0.00      1.05     0.00       28     0.00     0.00  SXIL_LoadMemTy
  0.00      1.05     0.00       28     0.00     0.00  SXIL_LoadNameRef
  0.00      1.05     0.00       28     0.00     0.00  SXIL_MkMemRef
  0.00      1.05     0.00       25     0.00     0.02  BGBDY_HashString
  0.00      1.05     0.00       25     0.00     0.02  BGBDY_HashSymbolQuick
  0.00      1.05     0.00       25     0.00     0.02  dystring
  0.00      1.05     0.00       24     0.00     0.00  BGBCC_WrapInt
  0.00      1.05     0.00       24     0.00     0.00  SXIL_SetStackPos
  0.00      1.05     0.00       24     0.00     0.00  SXIL_TypeTemplateP
  0.00      1.05     0.00       22     0.00     0.06  SXIL_OprVectorSSE
  0.00      1.05     0.00       22     0.00     0.00  SXIL_StackLitP
  0.00      1.05     0.00       22     0.00     0.00  SXIL_TypeRealP
  0.00      1.05     0.00       21     0.00     0.00  BASM_ResetCtx
  0.00      1.05     0.00       20     0.00     0.00  SXIL_EmitVarNull
  0.00      1.05     0.00       20     0.00     0.00  SXIL_EmitVarValue
  0.00      1.05     0.00       20     0.00     0.00  SXIL_Exch
  0.00      1.05     0.00       20     0.00     0.00  SXIL_IndexTopVar
  0.00      1.05     0.00       20     0.00     0.00  SXIL_MemRefESP
